Year,Order entered,PlotID,Replicate,Species,PercentCover,Notes,RLB Notes,EHL Notes
2014,24,COUG-001,QW,GOOOBL-Goodyera oblongifolia,2,goodyera oblongifolia ,,
2014,25,COUG-001,QW,LINBOR-Linnaea borealis,7,linnaea borealis,,
2014,26,COUG-001,QW,MOSS-Moss spp,8,,,
2014,27,COUG-001,QW,ORTSEC-Orthilia secunda,2,orthilia secunda,,
2014,28,COUG-001,QW,VACMEM-Vaccinium membranaceum,30,vaccinium membrenaceum  Could also be VAOL?,,
2014,29,LONG-044,QE,ACHTRI-Achlys triphylla,1,achlys triphylla,,
2014,30,LONG-044,QE,CLASIB-Claytonia sibirica,1,claytonia sibirica,,
2014,31,LONG-044,QE,LINBOR-Linnaea borealis,15,linnaea borealis,,
2014,32,LONG-044,QE,MOSS-Moss spp,20,,,
2014,33,LONG-044,QE,TIATRI-Tiarella trifoliata,5,tiarella trifoliata,,
2014,34,LONG-044,QN,DRYEXP-Dryopteris expansa,3,dryopteris expansa,This plant is pretty common and might have been overlooked elsewhere in the 2014 data ,
2014,35,LONG-044,QN,MOSS-Moss spp,30,,,
2014,36,LONG-044,QN,TIATRI-Tiarella trifoliata,4,tiarella trifoliata,,
2014,37,LONG-044,QS,LINBOR-Linnaea borealis,2,linnaea borealis,,
2014,38,LONG-044,QS,MOSS-Moss spp,20,,,
2014,39,LONG-044,QS,MAISTE-Maianthemum stellatum,4,smilacina stellatummaianthemum stellarium,,
2014,40,LONG-044,QS,TIATRI-Tiarella trifoliata,3,tiarella trifoliata,,
2014,41,LONG-044,QS,VIOLAS-VIOLA spp,2,,,
2014,42,LONG-044,QW,ACHTRI-Achlys triphylla,10,achlys triphylla,,
2014,43,LONG-044,QW,MAHNER-Mahonia nervosa,5,berberis nervosa,,
2014,44,LONG-044,QW,CHIMEN-Chimaphila menziesii,3,chimaphila menziesii,,
2014,45,LONG-044,QW,GALTRI-Galium triflorum,2,galium triflorum,,
2014,46,LONG-044,QW,MOSS-Moss spp,60,,,
2014,47,LONG-044,QW,TIATRI-Tiarella trifoliata,20,tiarella trifoliata,,
2014,48,LONG-044,QW,TRICER-Trisetum cernuum,2,trisetum cernuum,,
2014,49,LONG-044,QW,VIOLAS-VIOLA spp,2,many species possible,,
2014,50,FROG-373,ALL,MOSS-Moss spp,present,,,
2014,51,FROG-373,ALL,UNKFOR-Unknown forb,present,,,
2014,52,FROG-373,ALL,XERTEN-Xerophyllum tenax,present,xerophyllum tenax,,
2014,53,FROG-373,QE,ABIAMA-Abies amabilis,2,Abies amabilis,,
2014,54,FROG-373,QE,ERYMON-Erythronium montanum,1,erythronium montanum,,
2014,55,FROG-373,QE,MENFER-Menziesia ferruginea,20,menziesia ferruginea,,
2014,56,FROG-373,QE,RUBLAS-Rubus lasiococcus,2,rubus lasiococcus,,
2014,57,FROG-373,QE,VACMEM-Vaccinium membranaceum,15,vaccinium membranaceum,,
2014,58,FROG-373,QN,ERYMON-Erythronium montanum,3,erythronium montanum,,
2014,59,FROG-373,QN,RUBLAS-Rubus lasiococcus,3,rubus lasiococcus,,
2014,60,FROG-373,QN,TSUMER-Tsuga mertensiana,60,matted branch of adjacent tree,,
2014,61,FROG-373,QN,VACMEM-Vaccinium membranaceum,10,vaccinium membranaceum,,
2014,62,FROG-373,QN,VIOORB-Viola orbiculata,2,,,
2014,63,FROG-373,QS,ERYMON-Erythronium montanum,2,erythronium montanum,,
2014,64,FROG-373,QS,MENFER-Menziesia ferruginea,3,menziesia ferruginea,,
2014,65,FROG-373,QS,RIBWAT-Ribes watsoniananum,2,,,Originally ROWA but RIWA?
2014,66,FROG-373,QS,VACMEM-Vaccinium membranaceum,1,vaccinium membranaceum,,
2014,67,FROG-373,QS,VACALA-Vaccinium alaskaense,1,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,68,FROG-373,QS,XERTEN-Xerophyllum tenax,8,xerophyllum tenax,,
2014,69,FROG-373,QW,ERYMON-Erythronium montanum,4,erythronium montanum,,
2014,70,FROG-373,QW,MENFER-Menziesia ferruginea,60,menziesia ferruginea,,
2014,71,FROG-373,QW,MOSS-Moss spp,1,,,
2014,72,FROG-373,QW,RUBLAS-Rubus lasiococcus,2,rubus lasiococcus,,
2014,73,FROG-373,QW,VACMEM-Vaccinium membranaceum,5,vaccinium membranaceum,,
2014,74,FROG-373,QW,VACALA-Vaccinium alaskaense,15,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,75,CHIN-084,ALL,ATHFIL-Athyrium filix-femina,present,athyrium filix-femina,,
2014,76,CHIN-084,ALL,BLESPI-Blechnum spicant,present,blechnum spicant,,
2014,77,CHIN-084,ALL,MENFER-Menziesia ferruginea,present,menziesia ferruginea,,
2014,78,CHIN-084,QE,ACHTRI-Achlys triphylla,8,achlys triphylla,,
2014,79,CHIN-084,QE,GRAMIN-Graminoid spp,7,gymnocarpium dryopteris,,
2014,80,CHIN-084,QE,litter,70,,,
2014,81,CHIN-084,QE,MOSS-Moss spp,30,,,
2014,82,CHIN-084,QE,OPLHOR-Oplopanax horridus,2,oplopanax horridus,,
2014,83,CHIN-084,QE,RUBPED-Rubus pedatus,7,rubus pedatus,,
2014,84,CHIN-084,QE,STRROS-Streptopus roseus var curvipes,1,streptopus roseus,,
2014,85,CHIN-084,QE,TIATRI-Tiarella trifoliata,20,tiarella trifoliata,,
2014,86,CHIN-084,QN,CLIUNI-Clintonia uniflora,2,clintonia uniflora,,
2014,87,CHIN-084,QN,GYMDRY-Gymnocarpium dryopteris,1,gymnocarpium dryopteris,,
2014,88,CHIN-084,QN,log,70,,,
2014,89,CHIN-084,QN,MOSS-Moss spp,30,,,
2014,90,CHIN-084,QN,RUBPED-Rubus pedatus,8,rubus pedatus,,
2014,91,CHIN-084,QN,TIATRI-Tiarella trifoliata,3,tiarella trifoliata,,
2014,92,CHIN-084,QS,CLIUNI-Clintonia uniflora,1,clintonia uniflora,,
2014,93,CHIN-084,QS,GYMDRY-Gymnocarpium dryopteris,4,gymnocarpium dryopteris,,
2014,94,CHIN-084,QS,litter,60,,,
2014,95,CHIN-084,QS,MOSS-Moss spp,40,,,
2014,96,CHIN-084,QS,RUBPED-Rubus pedatus,4,rubus pedatus,,
2014,97,CHIN-084,QS,TIATRI-Tiarella trifoliata,5,tiarella trifoliata,,
2014,98,CHIN-084,QS,VACALA-Vaccinium alaskaense,7,vaccinium alaskaense,,
2014,99,CHIN-084,QS,VIOSEM-Viola sempervirens,5,viola sempervirens,,
2014,100,CHIN-084,QW,ACHTRI-Achlys triphylla,3,achlys triphylla,,
2014,101,CHIN-084,QW,CHIMEN-Chimaphila menziesii,2,chimaphila menziesii,,
2014,102,CHIN-084,QW,CLIUNI-Clintonia uniflora,3,clintonia uniflora,,
2014,103,CHIN-084,QW,GYMDRY-Gymnocarpium dryopteris,1,gymnocarpium dryopteris,,
2014,104,CHIN-084,QW,litter,80,,,
2014,105,CHIN-084,QW,MOSS-Moss spp,20,,,
2014,106,CHIN-084,QW,RUBPED-Rubus pedatus,8,rubus pedatus,,
2014,107,CHIN-084,QW,STRROS-Streptopus roseus var curvipes,25,streptopus roseus,,
2014,108,CHIN-084,QW,TIATRI-Tiarella trifoliata,4,tiarella trifoliata,,
2014,109,CHIN-084,QW,VIOSEM-Viola sempervirens,2,viola sempervirens,,
2014,110,MOWI-158,ALL,MENFER-Menziesia ferruginea,present,menziesia ferruginea,,
2014,111,MOWI-158,ALL,XERTEN-Xerophyllum tenax,present,xerophyllum tenax,,
2014,112,MOWI-158,QE,litter,98,,,
2014,113,MOWI-158,QE,MOSS-Moss spp,2,,,
2014,114,MOWI-158,QE,ORTSEC-Orthilia secunda,4,orthilia secunda,,
2014,115,MOWI-158,QE,RUBPED-Rubus pedatus,10,rubus pedatus,,
2014,116,MOWI-158,QE,MAIRAC-Maianthemum racemosa,2,smilacina racemosa,,
2014,117,MOWI-158,QE,VACMEM-Vaccinium membranaceum,7,vaccinium membranaceum,,
2014,118,MOWI-158,QN,ERYMON-Erythronium montanum,2,erythronium montanum,,
2014,119,MOWI-158,QN,litter,98,,,
2014,120,MOWI-158,QN,MOSS-Moss spp,2,,,
2014,121,MOWI-158,QN,MAIRAC-Maianthemum racemosa,3,smilacina racemosa,,
2014,122,MOWI-158,QN,VACMEM-Vaccinium membranaceum,30,vaccinium membranaceum,,
2014,123,MOWI-158,QN,VACALA-Vaccinium alaskaense,1,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,124,MOWI-158,QS,ERYMON-Erythronium montanum,3,erythronium montanum,,
2014,125,MOWI-158,QS,litter,100,,,
2014,126,MOWI-158,QS,MOSS-Moss spp,0,,,
2014,127,MOWI-158,QS,RUBLAS-Rubus lasiococcus,2,rubus lasiococcus,,
2014,128,MOWI-158,QS,VACMEM-Vaccinium membranaceum,35,vaccinium membranaceum,,
2014,129,MOWI-158,QW,ERYMON-Erythronium montanum,1,erythronium montanum,,
2014,130,MOWI-158,QW,litter,100,,,
2014,131,MOWI-158,QW,MOSS-Moss spp,0,,,
2014,132,MOWI-158,QW,MAIRAC-Maianthemum racemosa,2,smilacina racemosa,,
2014,133,MOWI-158,QW,VACMEM-Vaccinium membranaceum,65,vaccinium membranaceum,,
2014,134,TAHO-231,ALL,ADEBIC-Adenocaulon bicolor,present,adenocaulon bicolor,,
2014,135,TAHO-231,ALL,GALTRI-Galium triflorum,present,galium triflorum,,
2014,136,TAHO-231,QE,ACHTRI-Achlys triphylla,1,achlys triphylla,,
2014,137,TAHO-231,QE,GRAMIN-Graminoid spp,2,unid'd poaceae,,
2014,138,TAHO-231,QE,litter,30,,,
2014,139,TAHO-231,QE,MOSS-Moss spp,40,,,
2014,140,TAHO-231,QE,OXAORE-Oxalis oregana,25,oxalis oregana,,
2014,141,TAHO-231,QE,POLMUN-Polystichum munitum,50,polystichnum munitum,,
2014,142,TAHO-231,QE,TRIOVA-Trillium ovatum,1,trillium ovatum,,
2014,143,TAHO-231,QE,TIATRI-Tiarella trifoliata,15,trifoliata tiarella,,
2014,144,TAHO-231,QE,VIOLAS-VIOLA spp,1,,,
2014,145,TAHO-231,QN,DISHOO-Disporum hookeri,4,disporum hookeri,,
2014,146,TAHO-231,QN,litter,15,,,
2014,147,TAHO-231,QN,MOSS-Moss spp,85,,,
2014,148,TAHO-231,QN,OXAORE-Oxalis oregana,40,oxalis oregana,,
2014,149,TAHO-231,QN,POLMUN-Polystichum munitum,30,polystichnum munitum,,
2014,150,TAHO-231,QN,PTEAQU-Pteridium aquilinum,30,pteridium aquilinum,,
2014,151,TAHO-231,QN,TIATRI-Tiarella trifoliata,4,trifoliata tiarella,,
2014,152,TAHO-231,QS,ACECIR-Acer circinatum,15,acer circinatum,,
2014,153,TAHO-231,QS,litter,40,,,
2014,154,TAHO-231,QS,MOSS-Moss spp,50,,,
2014,155,TAHO-231,QS,OXAORE-Oxalis oregana,4,oxalis oregana,,
2014,156,TAHO-231,QS,POLMUN-Polystichum munitum,20,polystichnum munitum,,
2014,157,TAHO-231,QS,PTEAQU-Pteridium aquilinum,1,pteridium aquilinum,,
2014,158,TAHO-231,QS,TIATRI-Tiarella trifoliata,2,tiarella trifoliata,,
2014,159,TAHO-231,QS,TRIOVA-Trillium ovatum,1,trillium ovatum,,
2014,160,TAHO-231,QS,VIOLAS-VIOLA spp,2,,,
2014,161,TAHO-231,QW,ACHTRI-Achlys triphylla,4,achlys triphylla,,
2014,162,TAHO-231,QW,GOOOBL-Goodyera oblongifolia,2,goodyera oblongifolia ,,
2014,163,TAHO-231,QW,litter,50,,,
2014,164,TAHO-231,QW,MOSS-Moss spp,35,,,
2014,165,TAHO-231,QW,OXAORE-Oxalis oregana,25,oxalis oregana,,
2014,166,TAHO-231,QW,POLMUN-Polystichum munitum,30,polystichnum munitum,,
2014,167,TAHO-231,QW,TIATRI-Tiarella trifoliata,15,trifoliata tiarella,,
2014,168,TAHO-003,ALL,ALNVIR-Alnus viridis ssp sinuata,present,alnus crispa,,
2014,169,TAHO-003,ALL,CORSCO-Corydalis scouleri,present,corydalis scouleri,,
2014,170,TAHO-003,ALL,GRAMIN-Graminoid spp,present,Unidentified grass 1,,
2014,171,TAHO-003,ALL,GRAMIN-Graminoid spp,present,Unidentified grass 2,,
2014,172,TAHO-003,ALL,MIMGUT-Mimulus guttatus,present,mimulus guttatus,,
2014,173,TAHO-003,ALL,OPLHOR-Oplopanax horridus,present,oplopanax horridus,,
2014,174,TAHO-003,ALL,STACOO-Stachys cooleyae,present,stachys cooleyae,,
2014,175,TAHO-003,QE,ACECIR-Acer circinatum,60,acer circinatum,,
2014,176,TAHO-003,QE,ACHTRI-Achlys triphylla,2,achlys triphylla,,
2014,177,TAHO-003,QE,litter,10,,,
2014,178,TAHO-003,QE,MOSS-Moss spp,75,,,
2014,179,TAHO-003,QE,OXAORE-Oxalis oregana,7,oxalis oregana,,
2014,180,TAHO-003,QE,PTEAQU-Pteridium aquilinum,10,pteridium aquilinum,,
2014,181,TAHO-003,QE,TIATRI-Tiarella trifoliata,1,tiarella trifoliata,,
2014,182,TAHO-003,QE,VIOGLA-Viola glabella,2,viola glabella,,
2014,183,TAHO-003,QN,ATHFIL-Athyrium filix-femina,4,athyrium filix-femina,,
2014,184,TAHO-003,QN,CLASIB-Claytonia sibirica,5,claytonia sibirica,,
2014,185,TAHO-003,QN,GALTRI-Galium triflorum,1,galium triflorum,,
2014,186,TAHO-003,QN,GEUMAC-Geum macrophyllum,5,geum macrophyllum,,
2014,187,TAHO-003,QN,GRAMIN-Graminoid spp,12,possible fescue sp,,
2014,188,TAHO-003,QN,MYCMUR-Mycelis muralis,3,lactuca muralis,,
2014,189,TAHO-003,QN,litter,5,,,
2014,190,TAHO-003,QN,MOSS-Moss spp,80,,,
2014,191,TAHO-003,QN,OXAORE-Oxalis oregana,2,oxalis oregana,,
2014,192,TAHO-003,QN,POLMUN-Polystichum munitum,6,polystichnum munitum,,
2014,193,TAHO-003,QN,rock,10,,,
2014,194,TAHO-003,QN,RUBSPE-Rubus spectabilis,2,rubus spectabilis,,
2014,195,TAHO-003,QN,VERAME-Veronica americanus,4,veronica americana,,
2014,196,TAHO-003,QN,VIOGLA-Viola glabella,2,viola glabella,,
2014,197,TAHO-003,QS,ACHTRI-Achlys triphylla,3,achlys triphylla,,
2014,198,TAHO-003,QS,litter,15,,,
2014,199,TAHO-003,QS,MOSS-Moss spp,80,,,
2014,200,TAHO-003,QS,OXAORE-Oxalis oregana,8,oxalis oregana,,
2014,201,TAHO-003,QS,POLMUN-Polystichum munitum,5,polystichnum munitum,,
2014,202,TAHO-003,QS,PTEAQU-Pteridium aquilinum,7,pteridium aquilinum,,
2014,203,TAHO-003,QS,TIATRI-Tiarella trifoliata,4,tiarella trifoliata,,
2014,204,TAHO-003,QW,ASTERA-Asteraceae spp,2,,,
2014,205,TAHO-003,QW,ATHFIL-Athyrium filix-femina,8,athyrium filix-femina,,
2014,206,TAHO-003,QW,EQUARV-Equisetum arvense,1,equisetum arvense,,
2014,207,TAHO-003,QW,GEUMAC-Geum macrophyllum,4,geum macrophyllum,,
2014,208,TAHO-003,QW,MYCMUR-Mycelis muralis,4,lactuca muralis,,
2014,209,TAHO-003,QW,litter,10,,,
2014,210,TAHO-003,QW,MOSS-Moss spp,85,,,
2014,211,TAHO-003,QW,OXAORE-Oxalis oregana,5,oxalis oregana,,
2014,212,TAHO-003,QW,POLMUN-Polystichum munitum,6,polystichnum munitum,,
2014,213,TAHO-003,QW,rock,5,,,
2014,214,TAHO-003,QW,RUMEXS-Rumex spp,2,rumex,"There aren't any native rumex spp In the park, so this would have to be near a road or disturbed area to make sense",
2014,215,TAHO-003,QW,SAXIFR-Saxifragaceae spp,2,saxifrage unidentified,,
2014,216,TAHO-003,QW,VERAME-Veronica americanus,3,veronica americana,,
2014,217,TAHO-003,QW,VIOGLA-Viola glabella,3,viola glabella,,
2014,218,MOWI-157,ALL,VACALA-Vaccinium alaskaense,present,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,219,MOWI-157,ALL,VERVIR-Veratrum viride,present,veratrum viride,,
2014,220,MOWI-157,QE,litter,85,tree in plot: 15%,,
2014,221,MOWI-157,QE,MENFER-Menziesia ferruginea,1,menziesia ferruginea,,
2014,222,MOWI-157,QE,MOSS-Moss spp,0,,,
2014,223,MOWI-157,QE,RUBLAS-Rubus lasiococcus,2,rubus lasiococcus,,
2014,224,MOWI-157,QE,TIATRI-Tiarella trifoliata,3,tiarella trifoliata,,
2014,225,MOWI-157,QN,litter,98,,,
2014,226,MOWI-157,QN,MOSS-Moss spp,2,,,
2014,227,MOWI-157,QN,RUBLAS-Rubus lasiococcus,4,rubus lasiococcus,,
2014,228,MOWI-157,QN,RUBPED-Rubus pedatus,3,rubus pedatus,,
2014,229,MOWI-157,QN,STRROS-Streptopus roseus var curvipes,2,streptopus roseus took sample,,
2014,230,MOWI-157,QN,TIATRI-Tiarella trifoliata,4,tiarella trifoliata,,
2014,231,MOWI-157,QN,VACMEM-Vaccinium membranaceum,4,vaccinium membranaceum,,
2014,232,MOWI-157,QS,ERYMON-Erythronium montanum,10,erythronium montanum,,
2014,233,MOWI-157,QS,LIGGRA-Ligusticum grayi,2,ligusticum grayi,,
2014,234,MOWI-157,QS,litter,55,nurselog=30%,,
2014,235,MOWI-157,QS,MITBRE-Mitella breweri,5,mitella breweri,,
2014,236,MOWI-157,QS,MITPEN-Mitella pentandra,1,mitella pentandra,,
2014,237,MOWI-157,QS,MOSS-Moss spp,45,,,
2014,238,MOWI-157,QS,PHYEMP-Phyllodoce empetriformis,4,phyllodoce empetriformis,,
2014,239,MOWI-157,QS,RUBPED-Rubus pedatus,45,rubus pedatus,,
2014,240,MOWI-157,QS,TRACAR-Trautvettaria caroliniensis,2,trautvetteria caroliniensis,,
2014,241,MOWI-157,QS,VACMEM-Vaccinium membranaceum,15,vaccinium membranaceum,,
2014,242,MOWI-157,QS,VALSIT-Valeriana sitchensis,7,valeriana sitchensis,"I would expect this to be a bit more common, it can be easy to overlook when not flowering in the forest",
2014,243,MOWI-157,QW,ATHFIL-Athyrium filix-femina,5,athyrium felix-femina,,
2014,244,MOWI-157,QW,DOEJEF-Dodecatheon jeffryi,3,dodecatheon jeffreyi,Very uncommon in closed forest Might be an indication that plot was not in the same place as in the 1970s?,
2014,245,MOWI-157,QW,ERYMON-Erythronium montanum,25,erythronium montanum,,
2014,246,MOWI-157,QW,GRAMIN-Graminoid spp,2,unid'd grass took sample (Corex sp Lenticularis?),,
2014,247,MOWI-157,QW,LIGGRA-Ligusticum grayi,10,ligusticum grayi,,
2014,248,MOWI-157,QW,litter,85,,,
2014,249,MOWI-157,QW,MITBRE-Mitella breweri,15,mitella breweri,,
2014,250,MOWI-157,QW,MOSS-Moss spp,15,,,
2014,251,MOWI-157,QW,PLASTR-Platanthera stricta,2,plantanthera stricta,,
2014,252,MOWI-157,QW,RUBPED-Rubus pedatus,15,rubus pedatus,,
2014,253,MOWI-157,QW,VACMEM-Vaccinium membranaceum,8,vaccinium membranaceum,,
2014,254,MOWI-157,QW,VALSIT-Valeriana sitchensis,2,valeriana sitchensis,"I would expect this to be a bit more common, it can be easy to overlook when not flowering in the forest",
2014,255,MOWI-472,ALL,LISCOR-Listera cordata,present,listera cordata,,
2014,256,MOWI-472,QE,ERYMON-Erythronium montanum,15,erythronium montanum,,
2014,257,MOWI-472,QE,litter,80,,,
2014,258,MOWI-472,QE,MOSS-Moss spp,20,,,
2014,259,MOWI-472,QE,RHOALB-Rhododendron albiflorum,5,rhododendron albiflorum,,
2014,260,MOWI-472,QE,RUBPED-Rubus pedatus,10,rubus pedatus,,
2014,261,MOWI-472,QE,VACMEM-Vaccinium membranaceum,10,vaccinium membranaceum,,
2014,262,MOWI-472,QE,VACALA-Vaccinium alaskaense,40,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,263,MOWI-472,QN,ERYMON-Erythronium montanum,10,erythronium montanum,,
2014,264,MOWI-472,QN,litter,80,,,
2014,265,MOWI-472,QN,MOSS-Moss spp,20,,,
2014,266,MOWI-472,QN,RHOALB-Rhododendron albiflorum,40,rhododendron albiflorum,,
2014,267,MOWI-472,QN,RUBPED-Rubus pedatus,5,rubus pedatus,,
2014,268,MOWI-472,QN,VACALA-Vaccinium alaskaense,10,vaccinium alaskaense,,
2014,269,MOWI-472,QN,VACMEM-Vaccinium membranaceum,2,vaccinium membranaceum,,
2014,270,MOWI-472,QS,ERYMON-Erythronium montanum,3,erythronium montanum,,
2014,271,MOWI-472,QS,litter,30,,,
2014,272,MOWI-472,QS,MENFER-Menziesia ferruginea,20,menziesia ferruginea,,
2014,273,MOWI-472,QS,MOSS-Moss spp,70,,,
2014,274,MOWI-472,QS,RUBPED-Rubus pedatus,15,rubus pedatus,,
2014,275,MOWI-472,QS,VACMEM-Vaccinium membranaceum,20,vaccinium membranaceum,,
2014,276,MOWI-472,QS,VACALA-Vaccinium alaskaense,10,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,277,MOWI-472,QW,ERYMON-Erythronium montanum,6,erythronium montanum,,
2014,278,MOWI-472,QW,litter,30,,,
2014,279,MOWI-472,QW,MOSS-Moss spp,70,,,
2014,280,MOWI-472,QW,RUBPED-Rubus pedatus,10,rubus pedatus,,
2014,281,MOWI-472,QW,SORSIT-Sorbus sitchensis,2,sorbus sitchensis,,
2014,282,MOWI-472,QW,VACMEM-Vaccinium membranaceum,1,vaccinium membranaceum,,
2014,283,MOWI-472,QW,VACALA-Vaccinium alaskaense,55,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,284,MOWI-155,ALL,ARNLAT-Arnica latifolia,present,arnica latifolia,,
2014,285,MOWI-155,ALL,ATHFIL-Athyrium filix-femina,present,athyrium filix-femina,,
2014,286,MOWI-155,ALL,UNKFOR-Unknown forb,present,unid'd sp-see photo 592 on cybershot,,
2014,287,MOWI-155,ALL,VACMEM-Vaccinium membranaceum,present,vaccinium membranaceum,,
2014,288,MOWI-155,QE,ACHTRI-Achlys triphylla,20,achlys triphylla,,
2014,289,MOWI-155,QE,CLIUNI-Clintonia uniflora,2,clintonia uniflora,,
2014,290,MOWI-155,QE,GYMDRY-Gymnocarpium dryopteris,1,gymnocarpium dryopteris,,
2014,291,MOWI-155,QE,LISCOR-Listera cordata,1,listera cordata,,
2014,292,MOWI-155,QE,litter,98,,,
2014,293,MOWI-155,QE,MITBRE-Mitella breweri,2,mitella breweri,,
2014,294,MOWI-155,QE,MOSS-Moss spp,2,,,
2014,295,MOWI-155,QE,RUBPED-Rubus pedatus,4,rubus pedatus,,
2014,296,MOWI-155,QE,STRROS-Streptopus roseus var curvipes,5,streptopus roseus,,
2014,297,MOWI-155,QE,TIATRI-Tiarella trifoliata,3,tiarella trifoliata,,
2014,298,MOWI-155,QE,TRACAR-Trautvettaria caroliniensis,5,trautvetteria caroliniensis,,
2014,299,MOWI-155,QN,CLIUNI-Clintonia uniflora,3,clintonia uniflora,,
2014,300,MOWI-155,QN,litter,65,,,
2014,301,MOWI-155,QN,MOSS-Moss spp,35,,,
2014,302,MOWI-155,QN,RUBPED-Rubus pedatus,4,rubus pedatus,,
2014,303,MOWI-155,QN,STRROS-Streptopus roseus var curvipes,1,streptopus roseus,,
2014,304,MOWI-155,QN,TIATRI-Tiarella trifoliata,2,tiarella trifoliata,,
2014,305,MOWI-155,QN,VACALA-Vaccinium alaskaense,10,vaccinium alaskaense,,
2014,306,MOWI-155,QS,ACHTRI-Achlys triphylla,15,achlys triphylla,,
2014,307,MOWI-155,QS,CLIUNI-Clintonia uniflora,2,clintonia uniflora,,
2014,308,MOWI-155,QS,litter,95,,,
2014,309,MOWI-155,QS,MOSS-Moss spp,5,,,
2014,310,MOWI-155,QS,RUBPED-Rubus pedatus,4,rubus pedatus,,
2014,311,MOWI-155,QS,STRROS-Streptopus roseus var curvipes,4,streptopus roseus,,
2014,312,MOWI-155,QS,TIATRI-Tiarella trifoliata,3,tiarella trifoliata,,
2014,313,MOWI-155,QS,TRACAR-Trautvettaria caroliniensis,5,trautvetteria caroliniensis,,
2014,314,MOWI-155,QS,VACALA-Vaccinium alaskaense,5,vaccinium ovalifolium,merged VACOVA with VACALA,
2014,315,MOWI-155,QW,ACHTRI-Achlys triphylla,2,achlys triphylla,,
2014,316,MOWI-155,QW,CLIUNI-Clintonia uniflora,2,clintonia uniflora,,
2014,317,MOWI-155,QW,LISCOR-Listera cordata,2,listera cordata,,
2014,318,MOWI-155,QW,litter,65,,,
2014,319,MOWI-155,QW,MITBRE-Mitella breweri,4,mitella breweri,,
2014,320,MOWI-155,QW,MOSS-Moss spp,35,,,
2014,321,MOWI-155,QW,STRROS-Streptopus roseus var curvipes,2,streptopus roseus,,
2014,322,MOWI-155,QW,TIATRI-Tiarella trifoliata,25,tiarella trifoliata,,
2014,323,MOWI-155,QW,TRACAR-Trautvettaria caroliniensis,20,trautvetteria caroliniensis,,
2014,324,MOWI-155,QW,TRIOVA-Trillium ovatum,1,trillium ovatum,,
2014,325,MOWI-155,QW,UNKFOR-Unknown forb,2,took a sample,"Lathyrus spp, as id'd from sample ","No other notes, changed form Unidentified a to UNKFOR"
2014,326,MOWI-155,QW,VACALA-Vaccinium alaskaense,1,vaccinium alaskaense,,
2014,327,SHAW-068,ALL,GYMDRY-Gymnocarpium dryopteris,present,gymnocarpium dryopteris,,
2014,328,SHAW-068,ALL,LYSAME-Lysichitum americanum,present,lysichiton americanus,,
2014,329,SHAW-068,ALL,STRAMP-Streptopus amplexifolius,present,streptopus amplexifolius,,
