"Dataset","Species","Forced.Fire","Forced.No.Fire","Forced.Simpler.Mod","Discard.Later","One.Top.Mod"
"10","POMU","NA","No","NA","NA","No"
"10","PTAQ","NA","No","NA","NA","No"
"10","RULA","NA","No","NA","NA","No"
"10","RUPA","NA","No","NA","NA","No"
"10","RUPE","NA","No","NA","NA","No"
"10","RUSP","NA","No","NA","NA","No"
"10","SOSI","NA","No","NA","NA","No"
"10","SPBE","NA","No","NA","NA","No"
"10","TITR","NA","No","NA","NA","No"
"10","TRBO","NA","No","NA","NA","No"
"10","VAME","No","NA","Yes","NA","Yes"
"10","VASI","NA","No","NA","NA","No"
"11","ACCI","NA","No","NA","NA","No"
"11","ACGL","NA","No","NA","NA","No"
"11","ACMI","No","NA","NA","NA","No"
"11","AMAL","NA","No","NA","NA","No"
"11","ARUV","No","NA","NA","NA","No"
"11","ATFI","NA","No","NA","NA","No"
"11","CAME","NA","No","NA","NA","No"
"11","CARU","Yes","NA","NA","NA","Yes"
"11","CEVE","No","NA","NA","NA","No"
"11","CHUM","NA","No","NA","NA","No"
"11","CLUN","NA","No","NA","NA","No"
"11","COCA","NA","No","NA","NA","No"
"11","EPAN","No","NA","NA","NA","No"
"11","GAOV","NA","No","NA","NA","No"
"11","GASH","NA","No","NA","NA","No"
"11","GOOB","NA","No","NA","NA","No"
"11","GYDR","NA","No","NA","NA","No"
"11","HIAL","NA","No","NA","NA","No"
"11","HODI","NA","No","Yes","NA","No"
"11","LIBO","NA","No","NA","NA","No"
"11","MANE","NA","No","NA","NA","No"
"11","MEFE","NA","No","NA","NA","No"
"11","OPHO","NA","No","NA","NA","Yes"
"11","PAMY","No","NA","NA","NA","Yes"
"11","POMU","NA","No","NA","NA","No"
"11","PTAQ","NA","No","NA","NA","No"
"11","RULA","NA","No","NA","NA","No"
"11","RUPA","NA","No","NA","NA","No"
"11","RUPE","NA","No","NA","NA","No"
"11","RUSP","NA","No","NA","NA","No"
"11","SOSI","NA","No","NA","NA","No"
"11","SPBE","NA","No","NA","NA","No"
"11","TITR","NA","No","NA","NA","No"
"11","TRBO","NA","No","NA","NA","No"
"11","VAME","No","NA","Yes","NA","Yes"
"11","VASI","NA","No","NA","NA","No"
"12","ACCI","NA","No","NA","NA","No"
"12","ACGL","NA","No","NA","NA","No"
"12","ACMI","No","NA","NA","NA","No"
"12","AMAL","NA","No","NA","NA","No"
"12","ARUV","No","NA","NA","NA","No"
"12","ATFI","NA","No","NA","NA","No"
"12","CAME","NA","No","NA","Yes","NA"
"12","CARU","No","NA","NA","NA","No"
"12","CEVE","No","NA","NA","NA","No"
"12","CHUM","NA","No","NA","NA","No"
"12","CLUN","NA","No","NA","NA","No"
"12","COCA","NA","No","NA","NA","No"
"12","EPAN","No","NA","NA","NA","No"
"12","GAOV","NA","No","NA","NA","No"
"12","GASH","NA","No","NA","NA","No"
"12","GOOB","NA","No","NA","NA","No"
"12","GYDR","NA","No","NA","NA","No"
"12","HIAL","NA","No","NA","NA","No"
"12","HODI","NA","No","Yes","NA","No"
"12","LIBO","NA","No","NA","NA","No"
"12","MANE","NA","No","NA","NA","No"
"12","MEFE","NA","No","NA","NA","No"
"12","OPHO","NA","No","NA","NA","No"
"12","PAMY","No","NA","NA","NA","Yes"
"12","POMU","NA","No","NA","NA","No"
"12","PTAQ","NA","No","NA","NA","No"
"12","RULA","NA","No","NA","NA","No"
"12","RUPA","NA","No","NA","NA","No"
"12","RUPE","NA","No","NA","NA","No"
"12","RUSP","NA","No","NA","NA","No"
"12","SOSI","NA","No","NA","NA","No"
"12","SPBE","NA","Yes","NA","NA","No"
"12","TITR","NA","No","NA","NA","No"
"12","TRBO","NA","No","NA","NA","No"
"12","VAME","No","NA","Yes","NA","Yes"
"12","VASI","NA","No","NA","NA","No"
"13","ACCI","NA","No","NA","NA","No"
"13","ACGL","NA","No","NA","NA","No"
"13","ACMI","No","NA","NA","NA","No"
"13","AMAL","NA","No","NA","NA","No"
"13","ARUV","No","NA","NA","NA","No"
"13","ATFI","NA","No","NA","NA","No"
"13","CAME","NA","No","NA","NA","No"
"13","CARU","No","NA","NA","NA","No"
"13","CEVE","No","NA","NA","NA","No"
"13","CHUM","NA","No","NA","NA","No"
"13","CLUN","NA","No","NA","NA","No"
"13","COCA","NA","No","NA","NA","No"
"13","EPAN","No","NA","NA","NA","Yes"
"13","GAOV","NA","No","NA","NA","No"
"13","GASH","NA","No","NA","NA","No"
"13","GOOB","NA","No","NA","NA","No"
"13","GYDR","NA","No","NA","NA","No"
"13","HIAL","NA","No","NA","NA","No"
"13","HODI","NA","No","Yes","NA","No"
"13","LIBO","NA","No","NA","NA","No"
"13","MANE","NA","No","NA","NA","No"
"13","MEFE","NA","No","NA","NA","No"
"13","OPHO","NA","No","NA","NA","Yes"
"13","PAMY","No","NA","NA","NA","Yes"
"13","POMU","NA","No","NA","NA","No"
"13","PTAQ","NA","No","NA","NA","No"
"13","RULA","NA","No","NA","NA","No"
"13","RUPA","NA","No","NA","NA","No"
"13","RUPE","NA","No","NA","NA","No"
"13","RUSP","NA","No","NA","NA","No"
"13","SOSI","NA","No","NA","NA","No"
"13","SPBE","NA","Yes","NA","NA","No"
"13","TITR","NA","No","NA","NA","No"
"13","TRBO","NA","No","NA","NA","No"
"13","VAME","No","NA","Yes","NA","Yes"
"13","VASI","NA","No","NA","NA","No"
"14","ACCI","NA","No","NA","NA","No"
"14","ACGL","NA","No","NA","NA","No"
"14","ACMI","No","NA","NA","NA","No"
"14","AMAL","NA","No","NA","NA","No"
"14","ARUV","No","NA","NA","NA","No"
"14","ATFI","NA","No","NA","NA","No"
"14","CAME","NA","No","NA","NA","No"
"14","CARU","No","NA","NA","NA","Yes"
"14","CEVE","No","NA","NA","NA","No"
"14","CHUM","NA","No","NA","NA","No"
"14","CLUN","NA","No","NA","NA","No"
"14","COCA","NA","No","NA","NA","No"
"14","EPAN","No","NA","NA","NA","No"
"14","GAOV","NA","No","NA","NA","No"
"14","GASH","NA","No","NA","NA","No"
"14","GOOB","NA","No","NA","NA","No"
"14","GYDR","NA","No","NA","NA","No"
"14","HIAL","NA","No","NA","NA","No"
"14","HODI","NA","No","Yes","NA","No"
"14","LIBO","NA","No","NA","NA","No"
"14","MANE","NA","No","NA","NA","No"
"14","MEFE","NA","No","NA","NA","No"
"14","OPHO","NA","No","NA","NA","No"
"14","PAMY","No","NA","NA","NA","No"
"14","POMU","NA","No","NA","NA","No"
"14","PTAQ","NA","No","NA","NA","No"
"14","RULA","NA","No","NA","NA","No"
"14","RUPA","NA","No","NA","NA","No"
"14","RUPE","NA","No","NA","NA","No"
"14","RUSP","NA","No","NA","NA","No"
"14","SOSI","NA","No","NA","NA","No"
"14","SPBE","NA","Yes","NA","NA","No"
"14","TITR","NA","No","NA","NA","No"
"14","TRBO","NA","No","NA","NA","No"
"14","VAME","No","NA","Yes","NA","Yes"
"14","VASI","NA","No","NA","NA","No"
"15","ACCI","NA","No","NA","NA","No"
"15","ACGL","NA","No","NA","NA","No"
"15","ACMI","No","NA","NA","NA","No"
"15","AMAL","NA","Yes","NA","NA","No"
"15","ARUV","No","NA","NA","NA","No"
"15","ATFI","NA","No","NA","NA","No"
"15","CAME","NA","No","NA","Yes","NA"
"15","CARU","No","NA","NA","NA","Yes"
"15","CEVE","No","NA","NA","NA","No"
"15","CHUM","NA","No","NA","NA","No"
"15","CLUN","NA","No","NA","NA","No"
"15","COCA","NA","No","NA","NA","No"
"15","EPAN","No","NA","NA","NA","No"
"15","GAOV","NA","No","NA","NA","No"
"15","GASH","NA","No","NA","NA","No"
"15","GOOB","NA","No","NA","NA","No"
"15","GYDR","NA","No","NA","NA","No"
"15","HIAL","NA","No","NA","NA","No"
"15","HODI","NA","No","Yes","NA","No"
"15","LIBO","NA","No","NA","NA","No"
"15","MANE","NA","No","NA","NA","No"
"15","MEFE","NA","No","NA","NA","No"
"15","OPHO","NA","No","NA","NA","No"
"15","PAMY","No","NA","NA","NA","Yes"
"15","POMU","NA","No","NA","NA","No"
"15","PTAQ","NA","No","NA","NA","No"
"15","RULA","NA","No","NA","NA","No"
"15","RUPA","NA","No","NA","NA","No"
"15","RUPE","NA","No","NA","NA","No"
"15","RUSP","NA","No","NA","NA","No"
"15","SOSI","NA","No","NA","NA","No"
"15","SPBE","NA","No","NA","NA","No"
"15","TITR","NA","No","NA","NA","No"
"15","TRBO","NA","No","NA","Yes","NA"
"15","VAME","No","NA","Yes","NA","Yes"
"15","VASI","NA","No","NA","NA","No"
"16","ACCI","NA","No","NA","NA","No"
"16","ACGL","NA","No","NA","NA","No"
"16","ACMI","No","NA","NA","NA","No"
"16","AMAL","NA","No","NA","NA","No"
"16","ARUV","No","NA","NA","NA","No"
"16","ATFI","NA","No","NA","NA","No"
"16","CAME","NA","No","NA","Yes","NA"
"16","CARU","No","NA","NA","NA","Yes"
"16","CEVE","No","NA","NA","NA","Yes"
"16","CHUM","NA","No","NA","NA","No"
"16","CLUN","NA","No","NA","NA","No"
"16","COCA","NA","No","NA","NA","No"
"16","EPAN","No","NA","NA","NA","Yes"
"16","GAOV","NA","No","NA","NA","No"
"16","GASH","NA","No","NA","NA","No"
"16","GOOB","NA","No","NA","NA","No"
"16","GYDR","NA","No","NA","NA","No"
"16","HIAL","NA","No","NA","NA","No"
"16","HODI","NA","No","Yes","NA","No"
"16","LIBO","NA","No","NA","NA","No"
"16","MANE","NA","No","NA","NA","No"
"16","MEFE","NA","No","NA","NA","No"
"16","OPHO","NA","No","NA","NA","No"
"16","PAMY","No","NA","NA","NA","No"
"16","POMU","NA","No","NA","NA","No"
"16","PTAQ","NA","No","NA","NA","No"
"16","RULA","NA","No","NA","NA","No"
"16","RUPA","NA","No","NA","NA","No"
"16","RUPE","NA","No","NA","NA","No"
"16","RUSP","NA","No","NA","NA","No"
"16","SOSI","NA","No","NA","NA","No"
"16","SPBE","NA","No","NA","NA","No"
"16","TITR","NA","No","NA","NA","No"
"16","TRBO","NA","No","NA","Yes","NA"
"16","VAME","No","NA","Yes","NA","Yes"
"16","VASI","NA","No","NA","NA","No"
"17","ACCI","NA","No","NA","NA","No"
"17","ACGL","NA","No","NA","NA","No"
"17","ACMI","No","NA","NA","NA","No"
"17","AMAL","NA","Yes","NA","NA","No"
"17","ARUV","No","NA","NA","NA","No"
"17","ATFI","NA","No","NA","NA","No"
"17","CAME","NA","No","NA","NA","No"
"17","CARU","No","NA","NA","NA","No"
"17","CEVE","No","NA","NA","NA","Yes"
"17","CHUM","NA","No","NA","NA","No"
"17","CLUN","NA","No","NA","NA","No"
"17","COCA","NA","No","NA","NA","No"
"17","EPAN","No","NA","NA","NA","Yes"
"17","GAOV","NA","No","NA","NA","No"
"17","GASH","NA","No","NA","NA","No"
"17","GOOB","NA","No","NA","NA","No"
"17","GYDR","NA","No","NA","NA","No"
"17","HIAL","NA","No","NA","NA","No"
"17","HODI","NA","No","Yes","NA","No"
"17","LIBO","NA","No","NA","NA","No"
"17","MANE","NA","No","NA","NA","No"
"17","MEFE","NA","No","NA","NA","Yes"
"17","OPHO","NA","No","NA","NA","Yes"
"17","PAMY","No","NA","NA","NA","Yes"
"17","POMU","NA","No","NA","NA","No"
"17","PTAQ","NA","No","NA","NA","No"
"17","RULA","NA","No","NA","NA","No"
"17","RUPA","NA","No","NA","NA","No"
"17","RUPE","NA","No","NA","NA","No"
"17","RUSP","NA","No","NA","NA","No"
"17","SOSI","NA","No","NA","NA","No"
"17","SPBE","NA","Yes","NA","NA","No"
"17","TITR","NA","No","NA","NA","No"
"17","TRBO","NA","No","NA","Yes","NA"
"17","VAME","No","NA","Yes","NA","Yes"
"17","VASI","NA","No","NA","NA","No"
"18","ACCI","NA","No","NA","NA","No"
"18","ACGL","NA","No","NA","NA","No"
"18","ACMI","No","NA","NA","NA","No"
"18","AMAL","NA","No","NA","NA","No"
"18","ARUV","No","NA","NA","NA","No"
"18","ATFI","NA","No","NA","NA","No"
"18","CAME","NA","No","NA","NA","No"
"18","CARU","No","NA","NA","NA","Yes"
"18","CEVE","No","NA","NA","NA","Yes"
"18","CHUM","NA","No","NA","NA","No"
"18","CLUN","NA","No","NA","NA","No"
"18","COCA","NA","No","NA","NA","No"
"18","EPAN","No","NA","NA","NA","No"
"18","GAOV","NA","No","NA","NA","No"
"18","GASH","NA","No","NA","NA","No"
"18","GOOB","NA","No","NA","NA","No"
